File ID,File Name,Run Metadata ID,Study Name,PDC Study ID,PDC Study Version,Study ID,Embargo Date,Project Name,Data Category,File Type,Access,File Size (in bytes),Md5sum,Downloadable,File Download Link
"002c77f3-1dcd-4dba-a60e-71f40969df06","20CPTAC_HNSCC_W_JHU_20190809_LUMOS_fA.mzML.gz","20CPTAC_HNSCC_Proteome_JHU_20190809","CPTAC HNSCC Discovery Study - Proteome","PDC000221","1","96296fd1-89a4-11ea-b1fd-0aad30af8a83","N/A","CPTAC3-Discovery","Processed Mass Spectra","Open Standard","Open","117689681","692e67ec26d0e585328e530dedbdd666","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/221/mzml/20CPTAC_HNSCC_W_JHU_20190809_LUMOS_fA.mzML.gz?Expires=1631280060&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=RYoFg4~0UPHs7yYt4X1bCM-hSzc81~sSIHyGqnfPr-GiPLwvlqdtzezObDR4Q~kToXG9xzMQZ~sk4FlP4uaghdJh-pSn~caUGll8bjx3yfFiw2pO7fe8SECXSVbCQUlkvgLZV8UJy~DEkRE8IfiOpEopbmGJ5EKKomNyB8qn-dH0ei4h3GwfI9orZSLdsnxlTmyH4wIss3DeY1EBxzFfwCGqn0hubdi4BsLYVr-ZDIVgUp9Igi76Z41d3bcTvgdQOtrfdzlQwduuvB7gqdXRjUCWhMMy5h1Ohnar5msvxG3FJkYG8CEPImHyWYxoBam-o0yur6SC90pgamFVwbBwAg__"
"0099ef06-be6f-437a-9ca9-800835217664","19CPTAC_HNSCC_W_JHU_20191003_LUMOS_f24.mzML.gz","19CPTAC_HNSCC_Proteome_JHU_20191003","CPTAC HNSCC Discovery Study - Proteome","PDC000221","1","96296fd1-89a4-11ea-b1fd-0aad30af8a83","N/A","CPTAC3-Discovery","Processed Mass Spectra","Open Standard","Open","188972210","18fe794fc83f1ab7859c1f45e79d2cb7","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/221/mzml/19CPTAC_HNSCC_W_JHU_20191003_LUMOS_f24.mzML.gz?Expires=1631280060&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=ZmhF05I5oDuyT0bmEkFg1s5t0BSrO47BS3UYXjxSBzqrbXmM-9i8xFp5eVRNEXnVHvk-AQmvYutZLQBwxy7WW6UkmMfcXiDF5eQ42tIU4NJneNHtz2UeGGZtwrpJyBE~DBTcF0mcZxOaVED6jiEXYLmnIRk-1oLnfl21Xgz4rev0IsX5QDzzDCBRxPNmnmkNcm0MerjMLIhHxJsvT08stgHPT4D2OJYr6wXmMsUMSiMdeSP1qKQ~468AY2zabDJYpcklViGcT1mLdHdVCyNpFgQB9bQdq83yiFbU~pNGB3LpDITSJpe1LiVp8LGLp4QyesIOZMFJ8w81y6TEG~WotA__"
"00f00810-7f17-4cc8-b79a-e703229ff82c","17CPTAC_HNSCC_W_JHU_20190909_LUMOS_f03.mzML.gz","17CPTAC_HNSCC_Proteome_JHU_20190909","CPTAC HNSCC Discovery Study - Proteome","PDC000221","1","96296fd1-89a4-11ea-b1fd-0aad30af8a83","N/A","CPTAC3-Discovery","Processed Mass Spectra","Open Standard","Open","197975365","3b14ae7df507560087003623dbaac099","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/221/mzml/17CPTAC_HNSCC_W_JHU_20190909_LUMOS_f03.mzML.gz?Expires=1631280060&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Iqvr-uFjwE00j66TrIE-AlS78xZUDPEL8mtjqoC9Zh8lmxIfzaofGtY-A3yh3vmxhfTOtA5Bqs4Kq862GXyCkQIlcK4tH4C9BaHUYxBN4-T8CZ671VJJ-6yPUQ5TKfDJTA1IfYH-3DxIE-g0LGewa7OtxyXZaOB~n9PwQQ9R8JUvfSDFRtZQIxbNKiKswuHzPMX3K3cC1LCOmDv22uQE1bdmyEqsgOzUdlkM4raiVBXu3G06mpwaZnrtPKyxCI84mBYqrdizkSSGum6BP7~O2ipwdd1Oh5CX1KYEOCYcT9xHdItoWlKkSW8Quc7fXETBrsax~8QVF850sqmBZz9lGw__"
"015e46ad-2049-4b23-8e13-c4533b2bfe39","08CPTAC_HNSCC_W_JHU_20190610_LUMOS_f17.mzML.gz","08CPTAC_HNSCC_Proteome_JHU_20190610","CPTAC HNSCC Discovery Study - Proteome","PDC000221","1","96296fd1-89a4-11ea-b1fd-0aad30af8a83","N/A","CPTAC3-Discovery","Processed Mass Spectra","Open Standard","Open","204048360","22384d90fd5a7be3d30ab40861524ee9","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/221/mzml/08CPTAC_HNSCC_W_JHU_20190610_LUMOS_f17.mzML.gz?Expires=1631280060&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=GkHnKd0cGfMg5OAz4ccqz0hnUxKjugJnfBYLhyuOsbsm63nLUoTJdNLu2G9Gp1vwFILPgnLGeAd-C9yCMiZ2px7D6wGU2VZSUR-e6IxDon9j7GQ79yuEyVQ8WamvUdP3BnUC80SLCqFLqa7MDWNIPgtIAE28bLAIlchAFzh94btJpMAMDpZgebUw-30ypJrkKq4TRs646vUjTviSymB~D~5SVgyYcZtc7byJ59iXRco5O0H~TAsSVDmx2ikZM9KUsyC96hKwHdzyns5thgwZwfPOSeJRjAxps72wvHlbT~r6eklQt1c~bfxtS3usGUO-fN~qVlFaJOhuaVHgGvJyQQ__"
"0214dbda-edfb-4954-8825-2e3e57586240","11CPTAC_HNSCC_W_JHU_20190621_LUMOS_f11.mzML.gz","11CPTAC_HNSCC_Proteome_JHU_20190621","CPTAC HNSCC Discovery Study - Proteome","PDC000221","1","96296fd1-89a4-11ea-b1fd-0aad30af8a83","N/A","CPTAC3-Discovery","Processed Mass Spectra","Open Standard","Open","198465241","7871107393de2ecda0806c97e218efd6","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/221/mzml/11CPTAC_HNSCC_W_JHU_20190621_LUMOS_f11.mzML.gz?Expires=1631280060&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=OQi~pBavxch~EbumNIuAonCkgM4WpRmjRAIkVujlZy6db4I~4--nTDeil4p7bl1NipfIVsipKDC79mggY7GQQsIOG3r28QXPObOaiRbC5mOoPKX3BthNC5lLtR9VQvcsPoWG6rko0dVheY51dGoQatGJJbwyH1HwDLZ92u8X0Fo8xseKMTnQEj6LlCZ06BjR22mK-SXneVUko4Ep5cw~wsD~tk6IbfB1mT1oq8cJElcSvUL8b8tcH4eG9mQgigJHx13bPWjNRUyqGw8KyimbhnBddr7t4gH60vvyzkErKY77NJauqteLOcYGwUelU07XTy1nDZLExgwiuIQfx70dSg__"
"025b721f-8da2-4917-a14a-ab3d1d796fab","17CPTAC_HNSCC_W_JHU_20190909_LUMOS_f24.mzML.gz","17CPTAC_HNSCC_Proteome_JHU_20190909","CPTAC HNSCC Discovery Study - Proteome","PDC000221","1","96296fd1-89a4-11ea-b1fd-0aad30af8a83","N/A","CPTAC3-Discovery","Processed Mass Spectra","Open Standard","Open","201134615","6f8961daa5bab5a0e9c60ce6a6b81d3e","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/221/mzml/17CPTAC_HNSCC_W_JHU_20190909_LUMOS_f24.mzML.gz?Expires=1631280060&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=g8oQ9-3c6ixesdS9RUCQnQWjfztpbjpNX1-TWQ0bep0VDw~aBAwUQqv0NNHATBhfqRgo~olCWP50~r9BbvmAnVhttAsjVlxys~YpIOjWecAKcQwQh8rmRQBORMd4Dbkao7mPlcbVL352vZRv0qtZLHlie03WffqdJP-RN5Adv5z8WPz0s4fSagbg5BenHZqs4MmbtOstwNEm8GQ-uXWFUrnaWDtRsqtyLeNGEvEtbGP9G7UeWkLD3jLQUN44OIYH2WPLiFA6mTOmn9UkyQu21FXUjAZW4bs8dfK3hg085WLQI2mEFgLWmt2qw2o2lcoTUEgLdZLoz~gGKkaKAgLEGA__"
"026c94b7-3c74-41b3-a16b-b01db4074b0b","08CPTAC_HNSCC_W_JHU_20190610_LUMOS_f08.mzML.gz","08CPTAC_HNSCC_Proteome_JHU_20190610","CPTAC HNSCC Discovery Study - Proteome","PDC000221","1","96296fd1-89a4-11ea-b1fd-0aad30af8a83","N/A","CPTAC3-Discovery","Processed Mass Spectra","Open Standard","Open","212014145","f9c0bcd540a472485d4c913feb8fc6f3","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/221/mzml/08CPTAC_HNSCC_W_JHU_20190610_LUMOS_f08.mzML.gz?Expires=1631280060&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=dSMlkoeozKWlvJBe~t2p0cLLqMwQYMBWaFS~TS6fJk~pr82iJ2HJ8zPpu0wT-gjDqdB4VfT0CAKOjXGNt6RONbd8DcJRrUi9j3tzt4Gb6CgmZ7nPKtsQuv6Nmv1pkUPWypQVtgdxEweHRsLlCdYk~U6Sh2x1Ail-wMfB1e~uzy1aIUSNIsXkM5jhDr-kdlYn1Oit1xWaSHa9q3Q2SIZnxvx88PAh7K2b5dX6GQ~Lk6rDZSUIIqX-gYJ8KlmEXnnLb34BBebo03QkXpi2mZ5SJLxMHdRtmYfe6T6FsyeJMB2-uUj-6B80xXa3Gr7C0BOLcMuQy4p9kAU0u9y4HtjQFg__"
"02b172ec-6219-4b4f-a7f4-2ae998985da9","19CPTAC_HNSCC_W_JHU_20191003_LUMOS_f07.mzML.gz","19CPTAC_HNSCC_Proteome_JHU_20191003","CPTAC HNSCC Discovery Study - Proteome","PDC000221","1","96296fd1-89a4-11ea-b1fd-0aad30af8a83","N/A","CPTAC3-Discovery","Processed Mass Spectra","Open Standard","Open","192874534","1687148c67fd324086b4b63b8a2a1734","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/221/mzml/19CPTAC_HNSCC_W_JHU_20191003_LUMOS_f07.mzML.gz?Expires=1631280060&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=St~wUEFhLaAdXocv35XH5bkRAGcDKTtrfebvJqEOn2BfuOc~5ySLwzoE7ceJluAPmdlOpcHdAU85WjtQWYHKiWr827zHYWFCtceEZS9ALsTwySlI-ofQi5dzjwiav2PTnMVs6LkPugO~H88MVhe0cUEJlIxZWSBG-ZMRH-f5fjiMwurhANtFwQmL0d1ZQYf9UxSnP5DospMoES2-nJuA7hhT8uZLl4-HcTqnTXVa2Fic2ep~pONKv6ws4e13c-PNt5kaxP1YIbqlHN81VjV84-W5uwb2znPOkqSDJdGzp2GlzXOnWVjTkgchwJH~tcW7DWzGeaAwEfhDAfa1SqBAiA__"
"02eaf91a-5fa9-4c2a-94f3-75593a1ead65","01CPTAC_HNSCC_W_JHU_20190507_LUMOS_f08.mzML.gz","01CPTAC_HNSCC_Proteome_JHU_20190507","CPTAC HNSCC Discovery Study - Proteome","PDC000221","1","96296fd1-89a4-11ea-b1fd-0aad30af8a83","N/A","CPTAC3-Discovery","Processed Mass Spectra","Open Standard","Open","183074623","247b66ea673189b124e54b590125f32b","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/221/mzml/01CPTAC_HNSCC_W_JHU_20190507_LUMOS_f08.mzML.gz?Expires=1631280060&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=gypSIeJKsjnnWgLwmoJNrLeYDKTAVKEg-TEGNeCtuMBgWBBYzGpQAHOYs~RW4Qej-IXiUnBJm2Pkdp5akte-21rsn5krNfxywK8ya1F~5jfrTezxnU0jmLaT5lZCQ3v3zLCLIFYVuCux4Nh-vuWU0fHIQEJa8uJb4KaKrnsGDFQltPFjGcfzhjZy3rjRJh0CkNcPSK2qvphONjXWSt5EWwy8rKPloB~4ogJ~6pOCNR72RnWF3xvwzJRYKAqP9TD2sJOYTW7zkEnyH47uw6wXMTSOiGX6WSDbd7s6AvKif2RXeNf6vN98QtvLY0yowcBxkzdmBRljxbS4i5H-Rz4Fkw__"
"02ec5cb7-e421-483d-af1b-74c100a1bac8","13CPTAC_HNSCC_W_JHU_20190731_LUMOS_f22.mzML.gz","13CPTAC_HNSCC_Proteome_JHU_20190731","CPTAC HNSCC Discovery Study - Proteome","PDC000221","1","96296fd1-89a4-11ea-b1fd-0aad30af8a83","N/A","CPTAC3-Discovery","Processed Mass Spectra","Open Standard","Open","164048006","b2cd17c7b7a3c3b38e67fe69c00bab21","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/221/mzml/13CPTAC_HNSCC_W_JHU_20190731_LUMOS_f22.mzML.gz?Expires=1631280060&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=c7yHLWBSgvEoMigS6ASd5E7WLANSTYjDLppohhlRJciq5KVBWaCdaWATNzhHHKFcDoVIBKJ~ibGGkgX1p7ZuIi8aneHCKdRSSpxCuhs7gVgFhVCP5LyVkyxWV6idj2047isCFq6Dv~i1WOeWayIgDiVkWyPG69bbpH52Wb3m6IA92mVTNLiq6ydL8CzEVjtC9MFC5hcB1r8GXI6GQXDAaWs7uGB2kKDLqLtOdlVojiV5hOj8LJWckyo94deiJAEBRDNGZx0K-DHwpQ0p~TlxrHuLrX0O9-hUmQ2BsIhtFvCavinRRjvsR1rUI32zlo6ggsFRcW~516wyH0fi6G~K8A__"
